Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,港口管理人普赛克,"欢迎您的到来。您是第一次来到说话之岛吗？
若点选这个地方，则会自动进行任务。"
4001,,
4002,佣兵团长道格拉斯,"当任务完成时
自动进行任务
也会终止
再点选一次。"
6001,@4002,"最後，再多加練習吧。
再次點選這個位置
找我對話。"
11001,警衛隊長 哈洛德,試著按下背包鍵。可以在背包裡查看獲得的道具呢。
11002,,
11003,@11001,"按下自動裝備按鈕，
即可自動配置最適合的裝備。"
11004,,
11005,@11001,"這是對於跟你一樣身為新手的冒險家們很有用的功能，
希望你能好好運用。"
11006,,
12001,佩勒奈,"若使用<YellowBold>靈魂彈</>
則可以進行更強力的攻擊。"
12002,@12001,若點選這個地方，靈魂彈則可以自動使用呢。
12003,@12001,此時，靈魂彈每進行一次攻擊就會<YellowBold>消耗一個</>。
12004,@12001,未進行攻擊時不會自動使用，請放心。
12005,@12001,若不想自動使用時，再次點擊按鍵即可。
12006,@12001,於商店中可以輕鬆買到<YellowBold>靈魂彈 </>，可以先買起來放著，等待時機使用。要記住喔！
12007,,
13001,尼亞,告訴您進入每日副本的方法。
13002,@13001,可以在副本選單裡找到每日副本的入口。
13003,@13001,여기를 터치하세요.
13004,@13001,다양한 던전들이 보이시죠?
13005,@13001,"아직은 입장 가능한 던전이 많지 않지만, 성장을 통해 더 다양한 던전을 플레이 가능하게 될 겁니다."
13006,@13001,이제 요일 던전을 선택해 보세요.
13007,@13001,<YellowBold>요일 던전</>에서는 <YellowBold>매일 새로운 마물</>들이 출몰해요.
13008,@13001,"이 녀석들을 처치하시면, <YellowBold>특별한 보상</>을 받으실 수 있을 거에요!"
13009,@13001,강한 마물을 처치하실수록 더욱 귀한 보상을 얻을 테니 어서 빨리 강해지셔야 해요.
13010,@13001,어서 입장 버튼을 누르세요.
13011,,
13012,,
13013,,
13014,@13001,자동 사냥 버튼을 터치해 보세요.
13015,,
13016,,
13017,,
13018,@13001,"이렇게 강력한 몬스터를 쓰러뜨리다니, 대단해요!"
13019,,
13020,@13001,입장 횟수는 <YellowBold>매일 초기화</> 된대요. 하루하루 잊지 말고 도전하세요!
13021,,
13022,,
13023,@13001,요일 던전은 <YellowBold>실패해도 도전 횟수가 줄어들지 않는대요.</>도전을 어려워하지 마세요!!
13024,@13001,이번에는 실패했지만 다음에는 꼭 성공할 거에요.
13025,,
14001,統治者塔尼爾,試著使用主選單查看已經完成的成就，並獲得成就獎勵。
14002,@14001,先選擇挑戰選單，來確認已經完成的成就。
14003,@14001,很好。現在試著選擇查看成就。
14004,@14001,"這地方可以查看你的<YellowBold>成就</>，
而完成成就能獲得<YellowBold>獎勵</>。"
14005,@14001,"正好有個已經達成的<YellowBold>成就</>呢。
領取<YellowBold>獎勵</>吧。"
14006,@14001,試著按下領取獎勵鍵。
14007,,
14008,@14001,做得很好呢。若立下許多功勞，還會被賦予相符的<YellowBold>稱號與能力</>呢。
14009,@14001,可以馬上透過這裡進行確認。
14010,@14001,目前完成的成就仍不多，因此還無法獲取獎勵呢。
14011,@14001,若提升成就等級，不僅角色的能力會增加，還能獲得每日補給品作為獎勵喔。
14012,@14001,現在瞭解了吧？成就可以透過<YellowBold>各式各樣的方法</>來取得，可別漏掉任何一個囉！
14013,,
15001,雜貨商人亞奈斯,可以透過商店來獲取特別援助品。
15002,@15001,@13003
15003,@15001,"이 상품이에요.
나중에 또 받을 수 있으니 잘 기억해 둬요."
15004,@15001,"자! 망설이지 말고
어서 열어봐요."
15005,,
