Id,Name
1,說話之島東部
2,說話之島西部
3,古魯丁街道
4,古魯丁平原
5,溫達伍德莊園
6,荒原
7,狄恩牧草地
8,克魯瑪沼澤
9,鬥爭的山峰
10,吶喊之地
11,奇岩自治區
12,死亡之霧海岸
13,惡魔島
14,死亡小徑
15,北風高原
16,時間凍結之地
17,象牙塔自治區
18,龍之谷
200,精靈廢墟地下1樓
201,精靈廢墟地下2樓
202,螞蟻洞窟地下1樓
203,螞蟻洞窟地下2樓
204,克魯瑪高塔2樓
205,克魯瑪高塔3樓
206,象牙塔地下1樓
207,象牙塔地下2樓
208,象牙塔地下3樓
209,상아탑 지하 연구소
210,비밀의 숲 상층
211,비밀의 숲 하층
212,비밀의 숲 학살지
213,용의동굴 지하 1층
214,용의동굴 지하 2층
215,安塔瑞斯棲息地
300,광기의 제단
301,피의 여백작 침소
400,시공의 균열
402,자켄의 유령선
11000,被遺忘的記憶之聖所
12000,傲慢之塔
13000,採集副本
14000,競技場
14001,名譽戰場
14002,용맹의 전장
14005,亂鬥場
16003,古魯丁街道要塞
16004,古魯丁平原要塞
16005,溫達伍德莊園要塞
16006,荒原要塞
16007,狄恩牧草地要塞
16008,克魯瑪沼澤要塞
16009,鬥爭的山峰要塞
16010,吶喊之地要塞
16011,奇岩自治區要塞
16012,死亡之霧海岸要塞
16013,惡魔島要塞
16014,死亡小徑要塞
16015,北風高原要塞
16016,時間凍結之地要塞
16017,象牙塔自治區要塞
16018,龍之谷要塞
16019,巨石棚廢墟要塞
16020,崩壞的勝利之地要塞
16021,戰勝紀念塔要塞
16022,臨時防禦基地要塞
16023,風之森林要塞
16024,留下的精靈森林要塞
16025,西部邊境哨所要塞
16026,精靈廢墟要塞
16999,자유 요새전
17001,古魯丁城
17002,狄恩城
17003,奇岩城
17004,歐瑞城
18100,克瑞索斯的召喚物
18200,異界縫隙
18300,倍封印的入口
18400,水之神殿
18500,黑暗的實驗室
19001,[Agit]
20000,下巨人的實驗室
20001,@20000
20002,@20000
21000,마그나딘
211010,거인의 연구실
30001,신의 선물
30002,@30001
999,攻城戰TEST
998,PvP TEST
1000,proto rand1
1001,proto rand2
1002,怪物scale rand
1005,怪物scale rand2
1006,怪物scale rand3
1007,另一個攻城戰測試
1008,要塞戰測試
1009,@1008
1010,@1008
1011,@1008
1012,技能測試世界
1013,準首領scale rand
2000,puff rand
2001,puff rand1
2002,puff rand2
2003,puff rand3
2004,puff rand4
2005,puff rand5
2006,puff rand6
2007,puff rand7
2008,puff rand8
60001,亞丁城
70001,@60001
70002,亞丁的歷史
100200,異度空間
100204,@204
100018,魔物召喚石內部
100003,被攻擊的古魯丁港口
200001,提歐多爾的異度空間
200002,地下室
200003,습격당한 야영지
200004,歐瑞城外圍
200005,오렌 성 지하감옥
200200,鮮血之王的領地
211000,說話之島第一個結界
211001,說話之島第二個結界
211002,說話之島第三個結界
211003,說話之島第四個結界
200206,@206
213000,黑暗團體的實驗室
200010,札肯的深淵
210206,@206
210207,@207
210208,@13
299301,가젯 월드 - 피의 여백작 침소
299981,裝置世界-說話之島東部
299982,裝置世界-說話之島西部
299983,裝置世界-古魯丁街道
299984,裝置世界-古魯丁平原
299985,裝置世界-溫達伍德莊園
299986,裝置世界-荒原
299987,裝置世界-狄恩牧草地
299988,裝置世界-克魯瑪沼澤
299989,裝置世界-鬥爭的山峰
299990,裝置世界-吶喊之地
299991,裝置世界-奇岩自治區
299992,裝置世界-死亡之霧海岸
299993,裝置世界-惡魔島
299994,裝置世界-死亡小徑
299995,裝置世界-北風高原
299996,裝置世界-時間凍結之地
299997,裝置世界-象牙塔自治區
299998,裝置世界-龍之谷
1500,proto rand5
300201,@201
300203,@203
300205,@205
300207,@207
