Id,MssionGrade,TaskType,TaskCount,AutoCompleteTime,PassCost,RewardExp,RewardAdena,RewardIcon,MissionIcon
1,1,80,25,1440,5000,0,0,UI_Icon_RankC_RE,50
2,1,94,1,1440,5000,0,0,UI_Icon_RankC_RE,50
4,1,50,3,1440,5000,0,0,UI_Icon_RankC_RE,50
5,1,50,3,1440,5000,0,0,UI_Icon_RankC_RE,50
7,2,81,35,2880,10000,0,0,UI_Icon_RankB_RE,51
8,2,80,50,2880,10000,0,0,UI_Icon_RankB_RE,51
9,2,41,20,2880,10000,0,0,UI_Icon_RankB_RE,51
10,2,50,3,2880,10000,0,0,UI_Icon_RankB_RE,51
11,2,14,200,2880,10000,0,0,UI_Icon_RankB_RE,51
13,3,80,75,4320,15000,0,0,UI_Icon_RankA_RE,52
14,3,225,1,4320,15000,0,0,UI_Icon_RankA_RE,52
15,3,41,45,4320,15000,0,0,UI_Icon_RankA_RE,52
16,3,14,300,4320,15000,0,0,UI_Icon_RankA_RE,52
18,4,140,2,5760,20000,0,0,UI_Icon_RankS_RE,53
19,4,80,100,5760,20000,0,0,UI_Icon_RankS_RE,53
20,4,220,1,5760,20000,0,0,UI_Icon_RankS_RE,53
21,4,41,500,5760,20000,0,0,UI_Icon_RankS_RE,53
22,4,14,350,5760,20000,0,0,UI_Icon_RankS_RE,53
23,5,57,3,7200,25000,0,0,UI_Icon_RankR_RE,54
24,5,7,10,7200,25000,0,0,UI_Icon_RankR_RE,54
25,5,11,2000,7200,25000,0,0,UI_Icon_RankR_RE,54
26,5,140,3,7200,25000,0,0,UI_Icon_RankR_RE,54
28,5,80,125,7200,25000,0,0,UI_Icon_RankR_RE,54
29,5,14,400,7200,25000,0,0,UI_Icon_RankR_RE,54
30,1,80,25,1440,5000,0,0,UI_Icon_RankC_RE,50
31,1,94,1,1440,5000,0,0,UI_Icon_RankC_RE,50
33,1,50,3,1440,5000,0,0,UI_Icon_RankC_RE,50
34,1,50,3,1440,5000,0,0,UI_Icon_RankC_RE,50
36,2,81,35,2880,10000,0,0,UI_Icon_RankB_RE,51
37,2,80,50,2880,10000,0,0,UI_Icon_RankB_RE,51
38,2,41,20,2880,10000,0,0,UI_Icon_RankB_RE,51
39,2,50,3,2880,10000,0,0,UI_Icon_RankB_RE,51
40,2,14,200,2880,10000,0,0,UI_Icon_RankB_RE,51
42,3,80,75,4320,15000,0,0,UI_Icon_RankA_RE,52
43,3,225,1,4320,15000,0,0,UI_Icon_RankA_RE,52
44,3,41,45,4320,15000,0,0,UI_Icon_RankA_RE,52
45,3,14,300,4320,15000,0,0,UI_Icon_RankA_RE,52
47,4,140,2,5760,20000,0,0,UI_Icon_RankS_RE,53
48,4,80,100,5760,20000,0,0,UI_Icon_RankS_RE,53
49,4,220,1,5760,20000,0,0,UI_Icon_RankS_RE,53
50,4,41,500,5760,20000,0,0,UI_Icon_RankS_RE,53
51,4,14,350,5760,20000,0,0,UI_Icon_RankS_RE,53
52,5,57,3,7200,25000,0,0,UI_Icon_RankR_RE,54
53,5,7,10,7200,25000,0,0,UI_Icon_RankR_RE,54
