Id,Group,WorldId,SortNum,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon
10101,1,1,1,6,1,3,34001000,10,20,Icon_GachaItem_MonsterCore
10102,1,1,1,6,1,5,1001100,20,40,Icon_SummonGem_Piece_Gludio_01
10103,1,1,1,6,1,3,34001000,30,60,Icon_GachaItem_MonsterCore
10104,1,1,1,6,1,5,1001100,40,80,Icon_SummonGem_Piece_Gludio_01
10105,1,1,1,6,1,3,34001000,50,100,Icon_GachaItem_MonsterCore
10201,2,2,2,6,1,3,34001001,12,20,Icon_GachaItem_MonsterCore
10202,2,2,2,6,1,5,1001100,24,40,Icon_SummonGem_Piece_Gludio_01
10203,2,2,2,6,1,3,34001001,36,60,Icon_GachaItem_MonsterCore
10204,2,2,2,6,1,5,1001100,48,80,Icon_SummonGem_Piece_Gludio_01
10205,2,2,2,6,1,3,34001001,60,100,Icon_GachaItem_MonsterCore
10301,3,200,3,6,1,3,34001800,14,20,Icon_GachaItem_MonsterCore
10302,3,200,3,6,1,5,1001100,28,40,Icon_SummonGem_Piece_Gludio_01
10303,3,200,3,6,1,3,34001800,42,60,Icon_GachaItem_MonsterCore
10304,3,200,3,6,1,5,1001100,56,80,Icon_SummonGem_Piece_Gludio_01
10305,3,200,3,6,1,3,34001800,70,100,Icon_GachaItem_MonsterCore
10401,4,201,4,6,1,3,34001801,17,20,Icon_GachaItem_MonsterCore
10402,4,201,4,6,1,5,1001100,34,40,Icon_SummonGem_Piece_Gludio_01
10403,4,201,4,6,1,3,34001801,51,60,Icon_GachaItem_MonsterCore
10404,4,201,4,6,1,5,1001100,68,80,Icon_SummonGem_Piece_Gludio_01
10405,4,201,4,6,1,3,34001801,85,100,Icon_GachaItem_MonsterCore
10501,5,3,5,6,1,3,34001002,19,20,Icon_GachaItem_MonsterCore
10502,5,3,5,6,1,5,1001101,38,40,Icon_SummonGem_Piece_Gludio_01
10503,5,3,5,6,1,3,34001002,57,60,Icon_GachaItem_MonsterCore
10504,5,3,5,6,1,5,1001101,76,80,Icon_SummonGem_Piece_Gludio_01
10505,5,3,5,6,1,1,1000201,95,100,Icon_SummonGem_Gludio_02
10601,6,4,6,6,1,3,34001003,24,20,Icon_GachaItem_MonsterCore
10602,6,4,6,6,1,5,1001101,48,40,Icon_SummonGem_Piece_Gludio_01
10603,6,4,6,6,1,3,34001003,72,60,Icon_GachaItem_MonsterCore
10604,6,4,6,6,1,5,1001101,96,80,Icon_SummonGem_Piece_Gludio_01
10605,6,4,6,6,1,1,1000201,120,100,Icon_SummonGem_Gludio_02
10701,7,5,7,6,1,3,34001004,29,20,Icon_GachaItem_MonsterCore
10702,7,5,7,6,1,5,1001101,58,40,Icon_SummonGem_Piece_Gludio_01
10703,7,5,7,6,1,3,34001004,87,60,Icon_GachaItem_MonsterCore
10704,7,5,7,6,1,5,1001101,116,80,Icon_SummonGem_Piece_Gludio_01
10705,7,5,7,6,1,1,1000201,145,100,Icon_SummonGem_Gludio_02
10801,8,6,8,6,1,3,34001005,34,20,Icon_GachaItem_MonsterCore
10802,8,6,8,6,1,5,1001101,68,40,Icon_SummonGem_Piece_Gludio_01
10803,8,6,8,6,1,3,34001005,102,60,Icon_GachaItem_MonsterCore
10804,8,6,8,6,1,5,1001101,136,80,Icon_SummonGem_Piece_Gludio_01
10805,8,6,8,6,1,1,1000201,170,100,Icon_SummonGem_Gludio_02
10901,9,202,9,6,1,3,34001802,39,20,Icon_GachaItem_MonsterCore
