Id,Type,RequiredValue,RewardGem,RewardItemInfoId,RewardCount,RewardItemInfoId2,RewardCount2
1,0,1,300,,,,
2,0,2,200,,,,
3,0,3,100,,,,
4,0,4,80,,,,
5,0,5,60,,,,
6,0,10,45,,,,
7,0,50,35,,,,
8,0,100,30,,,,
9,0,100,25,,,,
10,0,1000,20,,,,
11,0,2000,15,,,,
12,0,5000,10,,,,
13,0,7500,5,,,,
14,0,10000,3,,,,
15,1,50,,900016,2,490002,25000
16,1,40,,900016,1,490002,10000
17,1,30,,900015,2,490002,7000
18,1,15,,900015,1,490002,5000
19,1,5,,900015,1,490002,3000
20,2,1,700,,,,
21,2,2,500,,,,
22,2,3,400,,,,
23,2,4,350,,,,
24,2,5,300,,,,
25,2,10,280,,,,
26,2,50,230,,,,
27,2,100,200,,,,
28,2,1000,150,,,,
29,2,3000,80,,,,
30,2,5000,50,,,,
31,2,10000,30,,,,
32,2,15000,20,,,,
33,2,30000,10,,,,
