Id,Difficulty,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3,RewardExp,RewardAdena
1,1,1,911179,1,,,,,0,0
2,1,2,911179,1,,,,,0,0
3,1,3,911179,2,,,,,0,0
4,1,4,911179,1,,,,,0,0
5,1,5,911179,2,,,,,0,0
6,1,6,911179,3,,,,,0,0
7,2,1,911179,1,,,,,0,0
8,2,2,911179,1,,,,,0,0
9,2,3,911179,2,,,,,0,0
10,2,4,911179,1,,,,,0,0
11,2,5,911179,2,,,,,0,0
12,2,6,911179,3,,,,,0,0
13,3,1,911179,1,,,,,0,0
14,3,2,911179,1,,,,,0,0
15,3,3,911179,2,,,,,0,0
16,3,4,911179,1,,,,,0,0
17,3,5,911179,2,,,,,0,0
18,3,6,911179,3,,,,,0,0
19,4,1,911179,1,,,,,0,0
20,4,2,911179,1,,,,,0,0
21,4,3,911179,2,,,,,0,0
22,4,4,911179,1,,,,,0,0
23,4,5,911179,2,,,,,0,0
24,4,6,911179,3,,,,,0,0
