Lv,AdenaTier0,AdenaTier1,AdenaTier2,SPTier0,SPTier1,SPTier2,GuildAdenaTier0,GuildAdenaTier1,GuildAdenaTier2,GuildAdenaTier3,GuildAdenaTier4,GuildAdenaTier5
1,0,1000,7000,0,5,110,1000,4000,6000,8000,10000,12000
2,0,2000,8000,0,10,115,1600,6400,9600,12800,16000,19200
3,0,3000,9000,0,20,120,2500,10200,15300,20400,25600,30700
4,0,4000,10000,0,30,125,4000,16300,24500,32700,40900,49100
5,0,5000,11000,0,40,130,6500,26200,39300,52400,65500,78600
6,0,6000,12000,0,50,135,10400,41900,62900,83800,104800,125800
7,0,7000,13000,0,110,140,16700,67100,100600,134200,167700,201300
8,0,8000,14000,0,115,145,26800,107300,161000,214700,268400,322100
9,0,9000,15000,0,120,150,42900,171700,257600,343500,429400,515300
10,0,10000,16000,0,125,155,68700,274800,412300,549700,687100,824600
11,0,11000,17000,0,130,160,0,0,0,0,0,0
12,0,12000,18000,0,135,165,0,0,0,0,0,0
13,0,13000,19000,0,140,170,0,0,0,0,0,0
14,0,14000,20000,0,145,175,0,0,0,0,0,0
15,0,15000,21000,0,150,180,0,0,0,0,0,0
16,0,16000,22000,0,155,185,0,0,0,0,0,0
17,0,17000,23000,0,160,190,0,0,0,0,0,0
18,0,18000,24000,0,165,195,0,0,0,0,0,0
19,0,19000,25000,0,170,200,0,0,0,0,0,0
20,0,20000,26000,0,175,205,0,0,0,0,0,0
21,0,21000,27000,0,180,210,0,0,0,0,0,0
22,0,22000,28000,0,185,215,0,0,0,0,0,0
23,0,23000,29000,0,190,220,0,0,0,0,0,0
24,0,24000,30000,0,195,225,0,0,0,0,0,0
25,0,25000,31000,0,200,230,0,0,0,0,0,0
26,0,26000,32000,0,205,235,0,0,0,0,0,0
27,0,27000,33000,0,210,240,0,0,0,0,0,0
28,0,28000,34000,0,215,245,0,0,0,0,0,0
29,0,29000,35000,0,220,250,0,0,0,0,0,0
30,0,30000,36000,0,225,255,0,0,0,0,0,0
31,0,31000,37000,0,230,260,0,0,0,0,0,0
32,0,32000,38000,0,235,265,0,0,0,0,0,0
33,0,33000,39000,0,240,270,0,0,0,0,0,0
34,0,34000,40000,0,245,275,0,0,0,0,0,0
35,0,35000,41000,0,250,280,0,0,0,0,0,0
36,0,36000,42000,0,255,285,0,0,0,0,0,0
37,0,37000,43000,0,260,290,0,0,0,0,0,0
38,0,38000,44000,0,265,295,0,0,0,0,0,0
39,0,39000,45000,0,270,300,0,0,0,0,0,0
40,0,40000,46000,0,275,305,0,0,0,0,0,0
41,0,41000,47000,0,280,310,0,0,0,0,0,0
42,0,42000,48000,0,285,315,0,0,0,0,0,0
43,0,43000,49000,0,290,320,0,0,0,0,0,0
44,0,44000,50000,0,295,325,0,0,0,0,0,0
45,0,45000,51000,0,300,330,0,0,0,0,0,0
46,0,46000,52000,0,305,335,0,0,0,0,0,0
47,0,47000,53000,0,310,340,0,0,0,0,0,0
48,0,48000,54000,0,315,345,0,0,0,0,0,0
49,0,49000,55000,0,320,350,0,0,0,0,0,0
50,0,50000,56000,0,325,355,0,0,0,0,0,0
