EquipType,Grade,Socket1Type,Socket2Type,Socket3Type,Socket4Type,Socket5Type,Socket6Type
1,1,1,179,179,179,179,179
1,2,1,10,179,179,179,179
1,3,1,10,1,179,179,179
1,4,1,10,1,10,179,179
1,5,1,10,1,10,1,179
1,6,1,10,1,10,1,10
1,7,1,10,1,10,1,10
0,1,21,179,179,179,179,179
0,2,21,58,179,179,179,179
0,3,21,58,21,179,179,179
0,4,21,58,21,58,179,179
0,5,21,58,21,58,21,179
0,6,21,58,21,58,21,58
0,7,21,58,21,58,21,58
2,1,21,179,179,179,179,179
2,2,21,58,179,179,179,179
2,3,21,58,21,179,179,179
2,4,21,58,21,58,179,179
2,5,21,58,21,58,21,179
2,6,21,58,21,58,21,58
2,7,21,58,21,58,21,58
6,1,1,179,179,179,179,179
6,2,1,10,179,179,179,179
6,3,1,10,1,179,179,179
6,4,1,10,1,10,179,179
6,5,1,10,1,10,1,179
6,6,1,10,1,10,1,10
6,7,1,10,1,10,1,10
8,1,29,179,179,179,179,179
8,2,29,26,179,179,179,179
8,3,29,26,29,179,179,179
8,4,29,26,29,26,179,179
8,5,29,26,29,26,29,179
8,6,29,26,29,26,29,26
8,7,29,26,29,26,29,26
4,1,11,179,179,179,179,179
4,2,11,102,179,179,179,179
4,3,11,102,11,179,179,179
4,4,11,102,11,102,179,179
4,5,11,102,11,102,11,179
4,6,11,102,11,102,11,102
4,7,11,102,11,102,11,102
5,1,11,179,179,179,179,179
5,2,11,102,179,179,179,179
5,3,11,102,11,179,179,179
5,4,11,102,11,102,179,179
5,5,11,102,11,102,11,179
5,6,11,102,11,102,11,102
5,7,11,102,11,102,11,102
7,1,29,179,179,179,179,179
7,2,29,26,179,179,179,179
7,3,29,26,29,179,179,179
7,4,29,26,29,26,179,179
7,5,29,26,29,26,29,179
7,6,29,26,29,26,29,26
7,7,29,26,29,26,29,26
9,1,101,179,179,179,179,179
9,2,101,101,179,179,179,179
9,3,101,101,101,179,179,179
9,4,101,101,101,101,179,179
9,5,101,101,101,101,101,179
9,6,101,101,101,101,101,101
9,7,101,101,101,101,101,101
10,1,101,179,179,179,179,179
10,2,101,101,179,179,179,179
10,3,101,101,101,179,179,179
10,4,101,101,101,101,179,179
10,5,101,101,101,101,101,179
10,6,101,101,101,101,101,101
10,7,101,101,101,101,101,101
