Id,GroupId,ThemeBGM
101,1,/Game/Sound/BGM/Battle/F_Theme_Dark_01
102,1,/Game/Sound/BGM/Battle/F_Theme_Dark_02
103,1,/Game/Sound/BGM/Battle/F_Theme_Dark_03
201,2,/Game/Sound/BGM/Battle/F_Theme_Dark_01
202,2,/Game/Sound/BGM/Battle/F_Theme_Dark_02
301,3,/Game/Sound/BGM/Battle/F_Theme_Desolate_01
302,3,/Game/Sound/BGM/Battle/F_Theme_Desolate_02
303,3,/Game/Sound/BGM/Battle/F_Theme_Desolate_03
304,3,/Game/Sound/BGM/Battle/F_Theme_Desolate_04
401,4,/Game/Sound/BGM/Battle/F_Theme_Dungeon_01
402,4,/Game/Sound/BGM/Battle/F_Theme_Dungeon_02
403,4,/Game/Sound/BGM/Battle/F_Theme_Dungeon_03
501,5,/Game/Sound/BGM/Battle/F_Theme_light_01
502,5,/Game/Sound/BGM/Battle/F_Theme_light_02
503,5,/Game/Sound/BGM/Battle/F_Theme_light_03
504,5,/Game/Sound/BGM/Battle/F_Theme_light_04
601,6,/Game/Sound/BGM/Boss/Boss_BGM_01
602,6,/Game/Sound/BGM/Boss/Boss_BGM_02
603,6,/Game/Sound/BGM/Boss/Boss_BGM_03
604,6,/Game/Sound/BGM/Boss/Boss_BGM_04
605,6,/Game/Sound/BGM/Boss/Boss_BGM_05
606,6,/Game/Sound/BGM/Boss/Boss_BGM_06
701,7,/Game/Sound/BGM/PVP/PVP_BGM_01
702,7,/Game/Sound/BGM/PVP/PVP_BGM_02
703,7,/Game/Sound/BGM/PVP/PVP_BGM_03
801,8,/Game/Sound/BGM/Boss/Boss_BGM_01
802,8,/Game/Sound/BGM/Boss/Boss_BGM_02
803,8,/Game/Sound/BGM/Boss/Boss_BGM_03
804,8,/Game/Sound/BGM/Boss/Boss_BGM_04
805,8,/Game/Sound/BGM/Boss/Boss_BGM_05
806,8,/Game/Sound/BGM/Boss/Boss_BGM_06
901,9,/Game/Sound/BGM/Quest/Quest_Theme_Normal_01
902,9,/Game/Sound/BGM/Quest/Quest_Theme_Normal_02
1001,10,/Game/Sound/BGM/Quest/Quest_Theme_Normal_01
1002,10,/Game/Sound/BGM/Quest/Quest_Theme_Normal_02
1003,10,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_01
1101,11,/Game/Sound/BGM/Quest/Quest_Theme_Normal_01
1102,11,/Game/Sound/BGM/Quest/Quest_Theme_Normal_02
1103,11,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_02
1201,12,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_01
1202,12,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_02
1301,13,/Game/Sound/BGM/Quest/Quest_Theme_Normal_01
1302,13,/Game/Sound/BGM/Quest/Quest_Theme_Normal_02
1303,13,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_01
1304,13,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_02
1401,14,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_01
1501,15,/Game/Sound/BGM/Quest/Quest_Theme_Normal_Long_02
1601,16,/Game/Sound/BGM/Siege/Siege_BGM_01
1602,16,/Game/Sound/BGM/Siege/Siege_BGM_02
1603,16,/Game/Sound/BGM/Siege/Siege_BGM_03
1701,17,/Game/Sound/BGM/Boss/Boss_BGM_01
1801,18,/Game/Sound/BGM/Boss/Boss_BGM_02
1901,19,/Game/Sound/BGM/Boss/Boss_BGM_03
2001,20,/Game/Sound/BGM/Boss/Boss_BGM_04
2101,21,/Game/Sound/BGM/Boss/Boss_BGM_05
2201,22,/Game/Sound/BGM/Boss/Boss_BGM_06
2301,23,/Game/Sound/BGM/Explore/F_Agricultural_Area_01
2401,24,/Game/Sound/BGM/Explore/F_Barren_Land_01
2501,25,/Game/Sound/BGM/Explore/F_Battle_Beautiful_01
2601,26,/Game/Sound/BGM/Explore/F_Camp_of_Ruins_Researchers_01
2701,27,/Game/Sound/BGM/Explore/F_Citadel_of_Pain_01
2801,28,/Game/Sound/BGM/Explore/F_Collapsed_Citadel_01
2901,29,/Game/Sound/BGM/Explore/F_Creepy_Land_01
3001,30,/Game/Sound/BGM/Explore/F_Cruma_Tower_01
3101,31,/Game/Sound/BGM/Explore/F_Dion_Castle_01
3201,32,/Game/Sound/BGM/Explore/F_Dion_Castle_Ground_01
3301,33,/Game/Sound/BGM/Explore/F_Execution_Ground_01
3401,34,/Game/Sound/BGM/Explore/F_Felling_Area_01
3501,35,/Game/Sound/BGM/Explore/F_Giran_Castle_01
3601,36,/Game/Sound/BGM/Explore/F_Gludio_Castle_01
3701,37,/Game/Sound/BGM/Explore/F_Mandragora_Plantation_01
3801,38,/Game/Sound/BGM/Explore/F_OlMahum_Hideaway_01
3901,39,/Game/Sound/BGM/Explore/F_Oren_Castle_01
4001,40,/Game/Sound/BGM/Explore/F_Pasture_01
4101,41,/Game/Sound/BGM/Explore/F_Red_Rock_Ridge_01
4201,42,/Game/Sound/BGM/Explore/F_Refuge_Area_01
4301,43,/Game/Sound/BGM/Explore/F_Remanent_Spirits_Forest_01
4401,44,/Game/Sound/BGM/Explore/F_Ruins_Excavation_Area_01
4501,45,/Game/Sound/BGM/Explore/F_Shade_Swamp_01
4601,46,/Game/Sound/BGM/Explore/F_Singing_Forest_01
4701,47,/Game/Sound/BGM/Explore/F_Swamp_01
4801,48,/Game/Sound/BGM/Explore/F_Tanor_Outpost_01
4901,49,/Game/Sound/BGM/Battle/F_Theme_Dark_01
5001,50,/Game/Sound/BGM/Battle/F_Theme_Dark_02
5101,51,/Game/Sound/BGM/Battle/F_Theme_Dark_03
5201,52,/Game/Sound/BGM/Battle/F_Theme_Desolate_01
5301,53,/Game/Sound/BGM/Battle/F_Theme_Desolate_02
5401,54,/Game/Sound/BGM/Battle/F_Theme_Desolate_03
5501,55,/Game/Sound/BGM/Battle/F_Theme_Desolate_04
5601,56,/Game/Sound/BGM/Battle/F_Theme_Dungeon_01
5701,57,/Game/Sound/BGM/Battle/F_Theme_Dungeon_02
5801,58,/Game/Sound/BGM/Battle/F_Theme_Dungeon_03
5901,59,/Game/Sound/BGM/Battle/F_Theme_light_01
6001,60,/Game/Sound/BGM/Battle/F_Theme_light_02
6101,61,/Game/Sound/BGM/Battle/F_Theme_light_03
6201,62,/Game/Sound/BGM/Battle/F_Theme_light_04
6301,63,/Game/Sound/BGM/Explore/F_The_Forest_of_Silence_01
6401,64,/Game/Sound/BGM/Explore/F_Turek_Orc_Base_camp_01
6501,65,/Game/Sound/BGM/PVP/PVP_BGM_01
6601,66,/Game/Sound/BGM/PVP/PVP_BGM_02
6701,67,/Game/Sound/BGM/PVP/PVP_BGM_03
6801,68,/Game/Sound/BGM/Siege/Siege_BGM_01
6901,69,/Game/Sound/BGM/Siege/Siege_BGM_02
7001,70,/Game/Sound/BGM/Siege/Siege_BGM_03
7101,71,/Game/Sound/BGM/Town/T_Town_of_Dion_01
7201,72,/Game/Sound/BGM/Town/T_Town_of_Giran_01
7301,73,/Game/Sound/BGM/Town/T_Town_of_Gludin_01
7401,74,/Game/Sound/BGM/Town/T_Town_of_Gludio_01
7501,75,/Game/Sound/BGM/Town/T_Town_of_Oren_01
7601,76,/Game/Sound/BGM/Town/T_Town_of_TalkingIsland_01
7701,77,/Game/Sound/BGM/Quest/Quest_BGM_Attack_1
7801,78,/Game/Sound/BGM/Quest/Quest_BGM_Mute_1
7901,79,/Game/Sound/BGM/Quest/Quest_BGM_Escape_1
8001,80,/Game/Sound/BGM/PVP/PVP_BGM_01
8002,80,/Game/Sound/BGM/PVP/PVP_BGM_02
