Id,Name,Message
1,Marlow,"How arrogant!
I’ll make sure that’s
the last breath you take!"
2,Valdir,"Lucien!
Prepare your magic
while I hold them off!"
3,Lucien,"Okay!
I’ll tell you when!
Hang in there!"
4,@2,"Help isn’t here yet?
Everyone, fight like
your lives depend on it!"
5,@3,"Ready!
Everyone, move!"
6,,"There are two who
rose to legendary status."
7,,"Now,"
8,,your legend begins.
9,@2,"Defense Captain
Marlow has fallen!
Onwards to the castle gate!"
10,@2,"Enemy reinforcements!
Stand your ground!"
11,,Attack!!!
12,,Kill them all!
13,,This port is ours!
14,,I won’t tell you!!!
15,,"Hahaha!
Your silence is futile."
16,,As expected...
17,,"It is within
the Elven Ruins..."
18,,"The fragment seems to be
reacting to this place..."
19,,Is it ready?
20,,"Chief! This is the
object you spoke of."
21,,Great!
22,,"We no longer need
this Human monument!"
23,,Kill the Humans!
24,,"Huh? It should be
here somewhere..."
25,,It's a trap...
26,,"Everyone, charge!!!"
27,,For Talking Island!!!
28,,"Did you really think
you could catch me?"
29,,"In the name
of Gran Kain..."
30,,Heed my call!
31,,Carpheous!!!
32,,Do as you will.
33,,Light of Einhasad!
34,,Show us the way!
35,,"Ugh...
That evil monster..."
36,,"It’s true!
It was so funny!"
37,,"So he would say...
“Hey, Orc. You, Orc.”"
38,,W-what is this!
39,,Enemy ambush!
40,,Prepare for combat!
41,,"We cannot lose
this place to them!!!"
42,,"As expected...
Human intervention..."
43,,I’ve got to notify - ugh!
44,,"They say curiosity
killed the cat."
45,,"Some secrets are
better left... secret."
46,,"Have fun
with this, boys."
47,,"Be sure to bring
back the blueprint!"
48,,"You’re sure this
is the place?"
49,,Who?! Who are you?
50,,"Entry is prohibited.
Please turn back."
51,,Wait!
52,,"It’s cute that you think
you can stop us."
53,,"Didn’t you ever learn
when to back down from a fight?"
54,,"Damn brat,
wasting our time."
55,,"None of you will leave
here alive."
56,,Hahaha! Burn!
57,,"By goddess Eva,
I command you."
58,,Power of purification!
59,,"Cleanse the evil within
Talking Island!"
60,,"Ahh, intriguing.
The object is here?"
61,,"Hey, you. It’d be in
your best interest to scram."
62,,E-enemy ambush!!!
63,,Stop their attack!!!
64,,"We’ve defeated the Wyvern!
Everyone, onto the castle!"
65,,Stand clear!
66,,"Kengpyn!
The age of oppression is at its end!"
67,,Along with your vile clan!
68,,How amusing.
69,,Do you know?
70,,"Many fools have stood where
you stand now and spoken
those same words!"
71,,"They all ended up
on their knees
begging for their lives!"
72,,You’ll do the same!
73,,"Wrong!
It’s your turn to kneel!"
74,,Everyone!
75,,Attack!!!
76,,"Valdir seized Aden Castle, 
and that tumultuous age
came to a close."
77,,Ah! We’ve reached Talking Island.
78,,"They say the key members
of the Silverlight Mercenaries
are all from Talking Island!"
79,,"Well, let’s get going!
Let’s set off to find our own clan -
one that will become legendary across Aden!"
84,@3,"Come on!
This way!"
87,@3,"Now!
We’ve got to break
down the castle gates!"
85,@2,"Soldiers, come in
when I signal!"
