MarketType,ShopId,CurrencyType,Cost,DisplayCost,OriginCost,SaleRatio,ProductId
1,30001000,2,1,0.99,,,
1,30001010,2,2.99,2.99,,,
1,30001020,2,4.99,4.99,,,
1,30001030,2,9.99,9.99,,,
1,30001040,2,1.99,1.99,,,
1,30001050,2,15.99,15.99,,20,
1,30001060,2,23.99,23.99,,20,
1,30001070,2,44.99,44.99,,10,
1,30001080,2,39.99,39.99,,20,
1,30001090,2,89.99,89.99,,10,
1,30001100,2,79.99,79.99,,20,
1,30001110,2,69.99,69.99,,30,
1,30001120,2,99.99,99.99,,,
1,30001130,2,49.99,49.99,,,
1,30001140,2,29.99,29.99,,,
1,30001150,2,29.99,29.99,,,
1,30001160,2,49.99,49.99,,,
1,30001170,2,49.99,49.99,,,
1,30001180,2,99.99,99.99,,,
1,30001190,2,99.99,99.99,,,
1,30001200,2,1,0.99,,,
1,30002000,2,2.99,2.99,,,
1,30002010,2,4.99,4.99,,,
1,30002020,2,9.99,9.99,,,
1,30002030,2,19.99,19.99,,,
1,30002040,2,29.99,29.99,,,
1,30002050,2,49.99,49.99,,,
1,30002060,2,99.99,99.99,,,
1,30002070,2,1,0.99,,,
1,30002080,2,4.99,4.99,,,
1,30002090,2,9.99,9.99,,,
1,30002100,2,19.99,19.99,,,
1,30002110,2,29.99,29.99,,,
1,30002120,2,49.99,49.99,,,
1,30002130,2,99.99,99.99,,,
1,30003000,2,9.99,9.99,,,
1,30003001,2,29.99,29.99,,,
1,30003100,2,2.99,2.99,,,
1,30003101,2,9.99,9.99,,,
1,30004000,2,99.99,99.99,,,
1,30004001,2,29.99,29.99,,,
1,30004002,2,99.99,99.99,,,
1,30004003,2,49.99,49.99,,,
1,30004100,2,4.99,4.99,,,
1,30004101,2,9.99,9.99,,,
1,30004200,2,9.99,9.99,,,
1,30004300,2,9.99,9.99,,,
1,30004301,2,29.99,29.99,,,
1,30110000,2,29.99,29.99,,,
1,30110001,2,44.99,44.99,,,
1,30110002,2,9.99,9.99,,,
1,30110003,2,29.99,29.99,,,
1,30110004,2,49.99,49.99,,,
1,30110005,2,29.99,29.99,,,
1,30110006,2,49.99,49.99,,,
1,30110007,2,99.99,99.99,,,
1,30110008,2,29.99,29.99,,,
1,30110009,2,49.99,49.99,,,
1,30110010,2,99.99,99.99,,,
1,30110011,2,49.99,49.99,,,
1,30110012,2,44.99,44.99,,10,
1,30110013,2,39.99,39.99,,20,
1,30110014,2,29.99,29.99,,,
1,30110015,2,29.99,29.99,,,
1,30110016,2,99.99,99.99,,,
1,30110017,2,99.99,99.99,,,
1,30120001,2,9.99,9.99,,,
1,30120002,2,19.99,19.99,,,
1,30120003,2,29.99,29.99,,,
1,30120004,2,9.99,9.99,,,
1,30120005,2,19.99,19.99,,,
1,30120006,2,29.99,29.99,,,
1,30120007,2,9.99,9.99,,,
1,30120008,2,29.99,29.99,,,
