Id,BookLevel,GroupId,MonsterId,CardBorder,SlotImage,BeadImage,UseLargeBeadImage,CardImage,RequiredQuantity,StatusIcon,EffectType,EffectType2,EffectParam,HuntType,HuntingSpotId,NameDirection
1,0,1,Black Fang,1,1,1,1,67,2,Icon_Skill_Active_10112,P. Atk./M. Atk.,,5,0,,0
1,1,1,Black Fang,1,1,2,1,67,2,Icon_Skill_Active_10112,P. Atk./M. Atk.,,10,0,,0
1,2,1,Black Fang,1,1,3,1,67,4,Icon_Skill_Active_10112,P. Atk./M. Atk.,,15,0,,0
1,3,1,Black Fang,1,1,4,1,67,4,Icon_Skill_Active_10112,P. Atk./M. Atk.,,20,0,,0
1,4,1,Black Fang,1,1,5,1,67,6,Icon_Skill_Active_10112,P. Atk./M. Atk.,,25,0,,0
1,5,1,Black Fang,2,2,6,0,67,6,Icon_Skill_Active_10112,P. Atk./M. Atk.,,30,0,,0
1,6,1,Black Fang,2,2,7,0,67,10,Icon_Skill_Active_10112,P. Atk./M. Atk.,,35,0,,0
1,7,1,Black Fang,2,2,8,0,67,10,Icon_Skill_Active_10112,P. Atk./M. Atk.,,40,0,,0
1,8,1,Black Fang,3,3,9,0,67,20,Icon_Skill_Active_10112,P. Atk./M. Atk.,,45,0,,0
1,9,1,Black Fang,3,3,10,0,67,20,Icon_Skill_Active_10112,P. Atk./M. Atk.,,50,0,,0
2,0,1,Urca,1,1,1,1,67,2,Icon_Skill_Passive_23251,Max MP,,10,0,,0
2,1,1,Urca,1,1,2,1,67,2,Icon_Skill_Passive_23251,Max MP,,20,0,,0
2,2,1,Urca,1,1,3,1,67,4,Icon_Skill_Passive_23251,Max MP,,30,0,,0
2,3,1,Urca,1,1,4,1,67,4,Icon_Skill_Passive_23251,Max MP,,40,0,,0
2,4,1,Urca,1,1,5,1,67,6,Icon_Skill_Passive_23251,Max MP,,50,0,,0
2,5,1,Urca,2,2,6,0,67,6,Icon_Skill_Passive_23251,Max MP,,60,0,,0
2,6,1,Urca,2,2,7,0,67,10,Icon_Skill_Passive_23251,Max MP,,70,0,,0
2,7,1,Urca,2,2,8,0,67,10,Icon_Skill_Passive_23251,Max MP,,80,0,,0
2,8,1,Urca,3,3,9,0,67,20,Icon_Skill_Passive_23251,Max MP,,90,0,,0
