Id,Name,Desc,RequiredId,GroupType,Param1,TaskType,TaskCondition,CompleteNotifyType,AchievementGroupId,TaskCount,RewardPoint,Reward
10100,Indiscriminate Hunter (Tier 1),Defeat  30  or more monsters.,,Battle,1,Count_KillMonster,All,Immediately,101,30,30,"1,000 Adena"
10101,Indiscriminate Hunter (Tier 2),"Defeat  1,400  or more monsters.",10100,Battle,2,Count_KillMonster,All,Immediately,101,"1,400",30,"1,000 Adena"
10102,Indiscriminate Hunter (Tier 3),"Defeat  10,370  or more monsters.",10101,Battle,3,Count_KillMonster,All,Immediately,101,"10,370",30,Soulshot (5)
10103,Indiscriminate Hunter (Tier 4),"Defeat  58,320  or more monsters.",10102,Battle,4,Count_KillMonster,All,Immediately,101,"58,320",50,"1,000 Adena"
10104,Indiscriminate Hunter (Tier 5),"Defeat  349,920  or more monsters.",10103,Battle,5,Count_KillMonster,All,Immediately,101,"349,920",100,"1,500 Adena"
10105,Indiscriminate Hunter (Tier 6),"Defeat  1,574,640  or more monsters.",10104,Battle,6,Count_KillMonster,All,Immediately,101,"1,574,640",180,Soulshot (10)
10106,Indiscriminate Hunter (Tier 7),"Defeat  5,248,800  or more monsters.",10105,Battle,7,Count_KillMonster,All,Immediately,101,"5,248,800",300,"3,000 Adena"
10107,Indiscriminate Hunter (Tier 8),"Defeat  8,458,560  or more monsters.",10106,Battle,8,Count_KillMonster,All,Immediately,101,"8,458,560",470,"4,500 Adena"
10108,Indiscriminate Hunter (Tier 9),"Defeat  12,156,480  or more monsters.",10107,Battle,9,Count_KillMonster,All,Immediately,101,"12,156,480",690,"6,000 Adena"
10109,Indiscriminate Hunter (Tier 10),"Defeat  16,342,560  or more monsters.",10108,Battle,10,Count_KillMonster,All,Immediately,101,"16,342,560",970,Soulshot (10)
10110,Indiscriminate Hunter (Tier 11),"Defeat  21,016,800  or more monsters.",10109,Battle,11,Count_KillMonster,All,Immediately,101,"21,016,800","1,320","10,500 Adena"
10111,Indiscriminate Hunter (Tier 12),"Defeat  26,179,200  or more monsters.",10110,Battle,12,Count_KillMonster,All,Immediately,101,"26,179,200","1,760","14,000 Adena"
10112,Indiscriminate Hunter (Tier 13),"Defeat  31,829,760  or more monsters.",10111,Battle,13,Count_KillMonster,All,Immediately,101,"31,829,760","2,170","17,000 Adena"
10113,Indiscriminate Hunter (Tier 14),"Defeat  37,968,480  or more monsters.",10112,Battle,14,Count_KillMonster,All,Immediately,101,"37,968,480","2,630",Soulshot (20)
10114,Indiscriminate Hunter (Tier 15),"Defeat  44,595,360  or more monsters.",10113,Battle,15,Count_KillMonster,All,Immediately,101,"44,595,360","3,150","24,500 Adena"
10115,Indiscriminate Hunter (Tier 16),"Defeat  51,710,400  or more monsters.",10114,Battle,16,Count_KillMonster,All,Immediately,101,"51,710,400","3,710","28,500 Adena"
10116,Indiscriminate Hunter (Tier 17),"Defeat  59,313,600  or more monsters.",10115,Battle,17,Count_KillMonster,All,Immediately,101,"59,313,600","4,330","33,500 Adena"
10117,Indiscriminate Hunter (Tier 18),"Defeat  64,195,200  or more monsters.",10116,Battle,18,Count_KillMonster,All,Immediately,101,"64,195,200","5,010",Soulshot (30)
10118,Indiscriminate Hunter (Tier 19),"Defeat  69,076,800  or more monsters.",10117,Battle,19,Count_KillMonster,All,Immediately,101,"69,076,800","5,740","44,000 Adena"
10119,Indiscriminate Hunter (Tier 20),"Defeat  73,958,400  or more monsters.",10118,Battle,20,Count_KillMonster,All,Immediately,101,"73,958,400","6,520","49,500 Adena"
10120,Indiscriminate Hunter (Tier 21),"Defeat  78,840,000  or more monsters.",10119,Battle,21,Count_KillMonster,All,Immediately,101,"78,840,000","7,360","56,000 Adena"
10501,Defeated a Rare One (Tier 1),Defeat  20  or more elite monsters.,,Battle,1,Count_KillMonster,Elite,Immediately,105,20,30,"1,000 Adena"
10502,Defeated a Rare One (Tier 2),Defeat  50  or more elite monsters.,10501,Battle,2,Count_KillMonster,Elite,Immediately,105,50,30,MP Potion (10)
10503,Defeated a Rare One (Tier 3),Defeat  130  or more elite monsters.,10502,Battle,3,Count_KillMonster,Elite,Immediately,105,130,50,"1,000 Adena"
10504,Defeated a Rare One (Tier 4),Defeat  440  or more elite monsters.,10503,Battle,4,Count_KillMonster,Elite,Immediately,105,440,100,"1,500 Adena"
10505,Defeated a Rare One (Tier 5),Defeat  780  or more elite monsters.,10504,Battle,5,Count_KillMonster,Elite,Immediately,105,780,180,"2,000 Adena"
10506,Defeated a Rare One (Tier 6),"Defeat  2,380  or more elite monsters.",10505,Battle,6,Count_KillMonster,Elite,Immediately,105,"2,380",300,Small Diamond Box (1)
10507,Defeated a Rare One (Tier 7),"Defeat  7,020  or more elite monsters.",10506,Battle,7,Count_KillMonster,Elite,Immediately,105,"7,020",470,"4,500 Adena"
10508,Defeated a Rare One (Tier 8),"Defeat  52,980  or more elite monsters.",10507,Battle,8,Count_KillMonster,Elite,Immediately,105,"52,980",690,MP Potion (20)
10509,Defeated a Rare One (Tier 9),"Defeat  110,900  or more elite monsters.",10508,Battle,9,Count_KillMonster,Elite,Immediately,105,"110,900",970,"8,000 Adena"
10510,Defeated a Rare One (Tier 10),"Defeat  180,790  or more elite monsters.",10509,Battle,10,Count_KillMonster,Elite,Immediately,105,"180,790","1,320","10,500 Adena"
10511,Defeated a Rare One (Tier 11),"Defeat  250,130  or more elite monsters.",10510,Battle,11,Count_KillMonster,Elite,Immediately,105,"250,130","1,760",MP Potion (30)
10512,Defeated a Rare One (Tier 12),"Defeat  309,960  or more elite monsters.",10511,Battle,12,Count_KillMonster,Elite,Immediately,105,"309,960","2,170","17,000 Adena"
10513,Defeated a Rare One (Tier 13),"Defeat  369,800  or more elite monsters.",10512,Battle,13,Count_KillMonster,Elite,Immediately,105,"369,800","2,630","20,500 Adena"
10514,Defeated a Rare One (Tier 14),"Defeat  429,630  or more elite monsters.",10513,Battle,14,Count_KillMonster,Elite,Immediately,105,"429,630","3,150",MP Potion (30)
10515,Defeated a Rare One (Tier 15),"Defeat  489,460  or more elite monsters.",10514,Battle,15,Count_KillMonster,Elite,Immediately,105,"489,460","3,710","28,500 Adena"
10516,Defeated a Rare One (Tier 16),"Defeat  549,290  or more elite monsters.",10515,Battle,16,Count_KillMonster,Elite,Immediately,105,"549,290","4,330","33,500 Adena"
10517,Defeated a Rare One (Tier 17),"Defeat  609,120  or more elite monsters.",10516,Battle,17,Count_KillMonster,Elite,Immediately,105,"609,120","5,010","38,500 Adena"
